subject,training_fraction,training_trials,repeat,balanced_accuracy
1,0.25,7,0,0.6428571428571428
1,0.25,7,1,0.42857142857142855
1,0.25,7,2,0.7857142857142857
1,0.25,7,3,0.5
1,0.25,7,4,0.5
1,0.5,15,0,0.5714285714285714
1,0.5,15,1,0.7142857142857142
1,0.5,15,2,0.7142857142857143
1,0.5,15,3,0.5
1,0.5,15,4,0.5714285714285714
1,0.75,23,0,0.6428571428571428
1,0.75,23,1,0.7857142857142857
1,0.75,23,2,0.8571428571428571
1,0.75,23,3,0.6428571428571428
1,0.75,23,4,0.5714285714285714
1,1.0,31,0,0.6428571428571428
1,1.0,31,1,0.6428571428571428
1,1.0,31,2,0.6428571428571428
1,1.0,31,3,0.6428571428571428
1,1.0,31,4,0.6428571428571428
2,0.25,7,0,0.3571428571428571
2,0.25,7,1,0.3571428571428571
2,0.25,7,2,0.6428571428571428
2,0.25,7,3,0.3571428571428571
2,0.25,7,4,0.3571428571428571
2,0.5,15,0,0.8571428571428571
2,0.5,15,1,0.7142857142857142
2,0.5,15,2,0.8571428571428571
2,0.5,15,3,0.5
2,0.5,15,4,0.7142857142857143
2,0.75,23,0,0.9285714285714286
2,0.75,23,1,0.8571428571428571
2,0.75,23,2,0.9285714285714286
2,0.75,23,3,0.9285714285714286
2,0.75,23,4,0.7142857142857143
2,1.0,31,0,0.9285714285714286
2,1.0,31,1,0.9285714285714286
2,1.0,31,2,0.9285714285714286
2,1.0,31,3,0.9285714285714286
2,1.0,31,4,0.9285714285714286
3,0.25,7,0,0.6428571428571428
3,0.25,7,1,0.6428571428571428
3,0.25,7,2,0.5
3,0.25,7,3,0.5
3,0.25,7,4,0.4285714285714286
3,0.5,15,0,0.5714285714285714
3,0.5,15,1,0.5
3,0.5,15,2,0.5714285714285714
3,0.5,15,3,0.5714285714285714
3,0.5,15,4,0.5
3,0.75,23,0,0.6428571428571428
3,0.75,23,1,0.8571428571428571
3,0.75,23,2,0.5714285714285714
3,0.75,23,3,0.5
3,0.75,23,4,0.5
3,1.0,31,0,0.5714285714285714
3,1.0,31,1,0.5714285714285714
3,1.0,31,2,0.5714285714285714
3,1.0,31,3,0.5714285714285714
3,1.0,31,4,0.5714285714285714
4,0.25,7,0,0.6428571428571428
4,0.25,7,1,0.5
4,0.25,7,2,0.5
4,0.25,7,3,0.35714285714285715
4,0.25,7,4,0.42857142857142855
4,0.5,15,0,0.5
4,0.5,15,1,0.42857142857142855
4,0.5,15,2,0.6428571428571428
4,0.5,15,3,0.42857142857142855
4,0.5,15,4,0.2857142857142857
4,0.75,23,0,0.8571428571428572
4,0.75,23,1,0.5
4,0.75,23,2,0.5
4,0.75,23,3,0.5714285714285714
4,0.75,23,4,0.7142857142857142
4,1.0,31,0,0.7142857142857143
4,1.0,31,1,0.7142857142857143
4,1.0,31,2,0.7142857142857143
4,1.0,31,3,0.7142857142857143
4,1.0,31,4,0.7142857142857143
5,0.25,7,0,0.3571428571428571
5,0.25,7,1,0.5
5,0.25,7,2,0.3571428571428571
5,0.25,7,3,0.6428571428571428
5,0.25,7,4,0.4285714285714286
5,0.5,15,0,0.2857142857142857
5,0.5,15,1,0.5714285714285714
5,0.5,15,2,0.5
5,0.5,15,3,0.5714285714285714
5,0.5,15,4,0.5
5,0.75,23,0,0.4285714285714286
5,0.75,23,1,0.42857142857142855
5,0.75,23,2,0.42857142857142855
5,0.75,23,3,0.5714285714285714
5,0.75,23,4,0.5
5,1.0,31,0,0.5
5,1.0,31,1,0.5
5,1.0,31,2,0.5
5,1.0,31,3,0.5
5,1.0,31,4,0.5
6,0.25,7,0,0.5714285714285714
6,0.25,7,1,0.5
6,0.25,7,2,0.4285714285714286
6,0.25,7,3,0.35714285714285715
6,0.25,7,4,0.5714285714285714
6,0.5,15,0,0.35714285714285715
6,0.5,15,1,0.42857142857142855
6,0.5,15,2,0.4285714285714286
6,0.5,15,3,0.4285714285714286
6,0.5,15,4,0.35714285714285715
6,0.75,23,0,0.35714285714285715
6,0.75,23,1,0.4285714285714286
6,0.75,23,2,0.5714285714285714
6,0.75,23,3,0.4285714285714286
6,0.75,23,4,0.4285714285714286
6,1.0,31,0,0.4285714285714286
6,1.0,31,1,0.4285714285714286
