model,mean_balanced_accuracy,std_balanced_accuracy,median_balanced_accuracy,mean_f1,participants
CSP + logistic regression,0.5746218003011482,0.14578539017122333,0.5548418972332015,0.5724942301691208,20
CSP + shrinkage LDA,0.5804406644080558,0.14865237649845398,0.5553359683794467,0.5787157539908703,20
